Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-202.3806	4.5472045	-194.73506	-209.33174	-197.31703	6.439449	-189.41025	-209.34438	100.0	100.0	1499	-2.3621933	0.40260324	0.019990899	-4.523191	2.2908168	0.1191792	5.558734655380249
2	-201.10667	4.9117045	-193.4265	-210.17169	-198.85136	5.1833324	-189.25568	-207.66945	100.0	100.0	2999	-3.6908092	0.63897264	-1.9390897	-5.6877785	3.6236491	0.031779535	15.438414812088013
3	-199.27731	7.197427	-182.96318	-210.49817	-200.13998	4.4579096	-191.93889	-206.67868	100.0	100.0	4499	-5.7589602	0.73385847	-3.1858163	-8.6675415	5.674694	0.03950711	25.844871997833252
4	-199.29033	3.7311056	-189.64697	-204.94417	-195.92783	6.3762684	-181.49036	-203.70554	100.0	100.0	5999	-7.858569	0.7954809	-5.121727	-10.61377	7.76818	0.052619837	35.4018976688385
5	-196.53879	6.0290103	-187.0868	-206.26508	-187.41397	20.663893	-128.67871	-201.00641	100.0	100.0	7499	-9.894914	0.8235038	-7.0569515	-13.176725	9.799551	0.06922515	44.86633110046387
6	-196.58249	8.83583	-178.74217	-208.80017	-182.7088	21.00507	-125.2007	-202.2799	100.0	100.0	8999	-11.782474	0.8485855	-8.669609	-14.821504	11.676433	0.08545281	54.28961253166199
7	-200.57462	4.4502134	-192.0909	-208.04655	-177.57455	14.894423	-151.00081	-197.17766	100.0	100.0	10499	-13.558344	0.87316656	-10.375687	-17.212883	13.436724	0.09771389	63.791820764541626
8	-196.75748	8.321443	-176.6147	-206.3851	-167.60036	32.18688	-88.75558	-200.7722	100.0	100.0	11999	-15.195646	0.8823613	-12.112739	-19.133059	15.065677	0.109613955	73.29032015800476
9	-196.6325	6.138363	-183.45888	-207.38863	-149.3092	33.470997	-83.89673	-198.02242	100.0	100.0	13499	-16.696117	0.8976703	-13.395969	-20.930979	16.552635	0.11632076	82.8718695640564
10	-202.26074	5.323354	-193.34207	-214.77617	-160.34555	26.991953	-114.58417	-198.89618	100.0	100.0	14999	-18.108253	0.94015586	-14.569782	-22.319105	17.953506	0.12766756	92.46134781837463
11	-199.48468	4.9719067	-188.08199	-208.23802	-163.38841	18.968714	-138.2628	-200.40321	100.0	100.0	16499	-19.408875	0.94934595	-15.985838	-23.191725	19.249126	0.13636951	101.97384285926819
12	-200.07915	5.6870995	-189.59982	-209.25565	-150.63295	30.785759	-80.53114	-207.35994	100.0	100.0	17999	-20.61256	0.9635264	-17.072279	-24.446737	20.445864	0.14599496	111.64753270149231
13	-200.0516	6.1568084	-187.22516	-208.32054	-151.59259	33.630165	-99.039894	-195.12819	100.0	100.0	19499	-21.732	0.97585005	-18.12403	-25.343138	21.56063	0.1522208	121.23701190948486
14	-161.40839	37.16477	-90.6433	-208.2613	-133.12433	39.493504	-83.24992	-194.15758	100.0	100.0	20999	-22.72	1.0253763	-18.829596	-27.112421	22.54686	0.16781497	131.23146319389343
15	-137.17271	36.921993	-73.08063	-203.6061	-124.908615	28.620108	-87.59835	-182.95865	100.0	100.0	22499	-23.353088	1.3947693	-18.252695	-27.75653	23.182512	0.25628406	141.4044635295868
16	-127.183876	32.98843	-59.266304	-177.89032	-110.71157	27.35663	-60.880585	-168.13354	100.0	100.0	23999	-23.756474	1.8808116	-17.506313	-29.000359	23.574625	0.35553688	151.58332109451294
17	-129.79565	35.49202	-41.916256	-176.34947	-147.47069	35.73139	-73.98721	-198.01892	100.0	100.0	25499	-24.027943	2.359865	-17.034327	-29.587925	23.828568	0.36149862	161.71845030784607
18	-117.21128	23.847998	-76.53335	-161.05847	-126.11839	40.32317	-56.367405	-183.01332	100.0	100.0	26999	-24.209198	2.8054569	-16.427767	-30.93835	24.006681	0.41216096	171.8428168296814
19	-114.41824	24.20647	-73.90026	-145.73842	-131.5337	36.517048	-83.877464	-205.79373	100.0	100.0	28499	-24.211153	3.2672453	-15.33184	-31.99113	23.997133	0.4746495	182.01206755638123
20	-124.79308	34.063828	-75.87815	-207.39491	-123.715805	22.165659	-88.418785	-152.59018	100.0	100.0	29999	-24.177319	3.6591935	-15.038974	-32.740723	23.950686	0.51282746	192.13340020179749
21	-119.90157	23.688377	-78.80998	-170.17169	-129.11752	16.058538	-96.750534	-160.68489	100.0	100.0	31499	-24.10843	4.0102386	-14.453753	-34.24797	23.865953	0.5457534	202.28519344329834
22	-115.17302	29.520777	-46.63818	-166.30246	-114.346375	26.649323	-82.251785	-162.42854	100.0	100.0	32999	-23.946297	4.348043	-13.564031	-35.023106	23.697079	0.5860799	212.42453169822693
23	-111.79627	21.38838	-79.96757	-161.14842	-115.606094	28.990149	-76.70517	-161.46274	100.0	100.0	34499	-23.721476	4.6337686	-12.943373	-36.28992	23.462057	0.5931926	222.5688498020172
24	-119.34669	27.044865	-82.90647	-188.7661	-118.460815	21.814268	-84.5254	-147.02094	100.0	100.0	35999	-23.49284	4.8696685	-12.588284	-36.27457	23.223406	0.6181145	232.686176776886
25	-104.923134	16.596678	-71.64358	-142.6518	-109.938965	38.845604	-47.466602	-198.42696	100.0	100.0	37499	-23.227379	5.0841703	-11.30056	-37.051483	22.949574	0.63177574	242.83077907562256
26	-99.62026	23.075405	-66.570244	-158.98431	-117.86753	24.078062	-67.830666	-154.50505	100.0	100.0	38999	-22.931213	5.2886987	-10.898651	-36.871532	22.650093	0.65701705	253.0099356174469
27	-104.691124	23.57914	-62.82244	-149.98895	-103.22909	24.941326	-61.35996	-138.44708	100.0	100.0	40499	-22.569727	5.45897	-10.278823	-37.704395	22.289455	0.7050949	263.15986704826355
28	-99.2327	30.195967	-55.407814	-153.6801	-96.081245	28.70212	-48.82882	-142.748	100.0	100.0	41999	-22.249146	5.6093917	-9.762909	-37.668465	21.971794	0.7186439	273.28631258010864
29	-100.48483	18.497252	-62.76327	-127.66609	-96.0894	24.393751	-45.51732	-125.66662	100.0	100.0	43499	-21.86321	5.748309	-9.301807	-37.99111	21.58485	0.7100253	283.4304504394531
30	-95.31361	22.796034	-63.828625	-158.81725	-108.616745	32.90035	-42.85674	-166.18776	100.0	100.0	44999	-21.42628	5.90476	-8.622215	-38.411537	21.144676	0.725203	293.6782388687134
31	-91.96526	26.501696	-45.923733	-156.3816	-91.33676	30.058222	-40.22188	-136.41663	100.0	100.0	46499	-21.01954	6.0446978	-8.19964	-38.949696	20.73818	0.7634756	303.7867066860199
32	-102.47414	30.843266	-51.345074	-164.98224	-101.38887	24.093092	-74.99625	-142.54639	100.0	100.0	47999	-20.646961	6.1097407	-7.826883	-38.51691	20.36726	0.7506787	313.93995332717896
33	-106.19779	45.905067	-40.835094	-193.08374	-81.39938	25.409332	-50.490547	-127.41042	100.0	100.0	49499	-20.303123	6.223495	-7.856836	-38.53971	20.017075	0.83287543	324.05442452430725
34	-98.595	28.02828	-41.367836	-148.00746	-70.59178	39.89588	26.237001	-121.5207	100.0	100.0	50999	-19.919807	6.286525	-7.7129006	-38.27637	19.631687	0.82744	334.1828622817993
35	-88.708275	17.908064	-60.19823	-129.8465	-83.24645	28.281588	-20.84003	-120.80848	100.0	100.0	52499	-19.555208	6.34504	-7.4048657	-39.649822	19.265118	0.8468026	344.3414726257324
36	-78.40845	22.56348	-23.758842	-113.00414	-98.04794	27.50112	-54.321198	-143.86461	100.0	100.0	53999	-19.181854	6.406852	-6.897546	-38.862644	18.895573	0.9106579	354.5068213939667
37	-85.89489	20.71343	-61.49497	-127.66581	-96.83695	23.731812	-56.28676	-133.73366	100.0	100.0	55499	-18.76232	6.4254794	-6.803824	-39.265507	18.471207	0.9391115	364.6896905899048
38	-84.27223	26.319918	-52.388996	-155.6566	-93.4026	23.153402	-50.41764	-136.86285	100.0	100.0	56999	-18.354233	6.5321326	-6.909391	-38.82151	18.0613	0.96201473	374.83177733421326
39	-83.446976	19.075788	-53.724472	-113.22591	-92.239655	23.255745	-59.460052	-128.48112	100.0	100.0	58499	-17.941648	6.592644	-6.822536	-40.697746	17.643913	0.9795223	385.02857756614685
40	-78.15992	16.17968	-40.683937	-101.59889	-73.42003	19.213266	-41.247883	-110.50712	100.0	100.0	59999	-17.503384	6.647449	-6.566861	-39.842022	17.21241	1.0465554	395.2699348926544
41	-77.25474	20.960615	-47.873943	-131.57567	-75.58532	16.445034	-47.494453	-97.74924	100.0	100.0	61499	-17.175554	6.6826634	-6.2693663	-39.752083	16.87468	1.0273104	405.5146644115448
42	-80.71299	31.539928	-35.63314	-146.89413	-76.857834	21.228924	-45.36465	-110.77943	100.0	100.0	62999	-16.745298	6.7529745	-5.85353	-39.822483	16.433659	1.1093825	415.7457456588745
43	-78.40234	24.42629	-47.628105	-124.38463	-80.173546	27.577734	-40.910038	-130.59737	100.0	100.0	64499	-16.340195	6.813727	-5.2775536	-40.510582	16.029833	1.1601171	426.04575777053833
44	-79.828094	30.854061	-37.684334	-127.18401	-83.131195	37.062473	-50.463184	-178.91177	100.0	100.0	65999	-15.883478	6.8697133	-4.580432	-39.93286	15.564511	1.2355466	436.3833589553833
45	-71.79482	34.906734	-41.217083	-184.27446	-85.191864	34.376774	-34.659153	-163.41742	100.0	100.0	67499	-15.52695	6.97726	-4.2341805	-39.236725	15.197502	1.2018418	446.7341105937958
46	-74.710945	31.827253	-6.5009274	-128.02037	-71.484085	31.226793	-38.062366	-148.51505	100.0	100.0	68999	-15.025178	7.015773	-3.9889705	-39.741035	14.692803	1.3088549	457.14619994163513
47	-85.556984	33.881985	-38.12325	-158.11371	-64.51472	19.122375	-30.93844	-100.710236	100.0	100.0	70499	-14.62875	7.107163	-3.5018737	-39.751495	14.283247	1.3811029	467.6025879383087
48	-67.65355	23.656715	-34.58636	-133.20659	-75.90517	28.291061	-27.81887	-113.96555	100.0	100.0	71999	-14.185284	7.1764183	-3.17743	-38.86051	13.840602	1.4304444	478.03378462791443
49	-70.43164	18.840946	-40.224976	-110.15376	-87.3427	31.49477	-41.723896	-151.29845	100.0	100.0	73499	-13.773951	7.256677	-2.8234403	-39.46272	13.417573	1.4124733	488.53882575035095
50	-67.78759	17.152992	-33.249214	-97.74881	-69.30183	18.51097	-41.934986	-99.304474	100.0	100.0	74999	-13.324363	7.2894535	-2.358802	-38.703705	12.966031	1.4871252	498.97416043281555
51	-66.56249	17.9241	-38.17349	-95.27635	-75.25941	18.845814	-47.9632	-110.34915	100.0	100.0	76499	-12.91596	7.346288	-2.1020384	-39.143272	12.544447	1.5024873	509.4350974559784
52	-69.31772	20.543814	-30.691992	-104.37364	-61.736244	20.170113	-33.64768	-95.90098	100.0	100.0	77999	-12.480945	7.387863	-1.6753209	-39.61462	12.102429	1.5870135	519.9482634067535
53	-65.2039	14.709792	-37.307358	-91.24994	-54.449196	18.750126	-34.058224	-103.874405	100.0	100.0	79499	-12.024897	7.4277244	-1.4892459	-39.559055	11.642403	1.5916188	530.4584124088287
54	-63.66282	27.379211	-26.98125	-123.91651	-101.15206	28.80929	-46.57339	-158.59526	100.0	100.0	80999	-11.6021385	7.45669	-1.1137295	-39.425186	11.217594	1.5689355	541.0239977836609
55	-65.05773	24.592611	-31.067993	-112.40668	-67.016945	15.411861	-36.75781	-96.18193	100.0	100.0	82499	-11.174477	7.485763	-0.8299514	-38.272533	10.794086	1.6133825	551.5166392326355
56	-71.88376	26.381462	-26.461298	-132.1677	-66.718796	17.474483	-47.40098	-96.809494	100.0	100.0	83999	-10.778989	7.52468	-0.50944805	-39.732002	10.397244	1.6682723	562.030335187912
57	-75.49824	27.74655	-39.001053	-132.78146	-72.35988	14.246001	-52.831116	-99.894264	100.0	100.0	85499	-10.398375	7.569064	-0.21974094	-38.54186	10.007036	1.7016206	572.4509618282318
58	-73.558014	33.45894	-8.731389	-140.45438	-84.576004	20.232065	-49.43753	-131.5154	100.0	100.0	86999	-10.092757	7.6426873	-0.18692495	-38.08606	9.70088	1.6774942	582.965372800827
59	-65.679794	20.080404	-36.21871	-106.321175	-71.823166	35.19293	-23.86178	-148.24559	100.0	100.0	88499	-9.697773	7.595254	-0.12935203	-39.481754	9.320868	1.7048558	593.3875622749329
60	-70.48879	21.096909	-28.20078	-111.82919	-64.07	22.015657	-33.104267	-95.365135	100.0	100.0	89999	-9.397211	7.6391716	-0.06687469	-38.910126	9.0098915	1.7284876	603.8511068820953
61	-84.66987	30.98931	-36.811497	-153.64001	-72.81962	26.9729	-42.222294	-135.39465	100.0	100.0	91499	-9.091739	7.600263	0.00085669867	-41.92604	8.715247	1.6908145	614.2361791133881
62	-75.712975	23.31253	-24.395872	-119.65332	-63.72513	9.58614	-45.43054	-80.75671	100.0	100.0	92999	-8.796517	7.623647	0.09174021	-39.949753	8.429228	1.7670547	624.6339685916901
63	-67.72191	30.286295	-19.62945	-143.22723	-83.408646	35.95568	-41.411625	-172.58391	100.0	100.0	94499	-8.486579	7.6097193	0.16385393	-40.15801	8.117867	1.7752208	635.0899977684021
64	-67.31103	20.72119	-38.255085	-107.96315	-70.810005	19.311253	-32.607784	-93.608185	100.0	100.0	95999	-8.22407	7.6263623	0.2554274	-38.17432	7.8666496	1.7916121	645.5195274353027
65	-72.61683	31.750305	-36.75355	-168.62636	-67.55215	37.41402	-36.417698	-173.07341	100.0	100.0	97499	-7.9849033	7.6450844	0.34749892	-39.931377	7.6248965	1.7956244	655.9218859672546
66	-70.44434	21.671156	-47.081264	-121.70847	-62.029247	22.296873	-26.384987	-97.67324	100.0	100.0	98999	-7.7741985	7.6609187	0.45309335	-38.91744	7.420108	1.8342324	666.354907989502
67	-72.51908	22.797886	-24.786573	-108.17536	-72.65913	19.07327	-40.297676	-98.78497	100.0	100.0	100499	-7.545855	7.666511	0.56290174	-38.362377	7.1834373	1.8010532	676.7744898796082
68	-67.69358	19.001913	-48.38332	-114.55016	-71.02627	18.128996	-44.974575	-96.8397	100.0	100.0	101999	-7.3520827	7.6768894	0.6880343	-38.29278	6.983674	1.807244	687.1735305786133
69	-82.702774	32.586716	-41.32705	-148.91449	-89.95745	35.85261	-37.02956	-157.59311	100.0	100.0	103499	-7.092931	7.648083	0.81732404	-37.71352	6.7322383	1.8313266	697.5908675193787
70	-73.287636	27.235613	-22.684813	-125.0595	-70.50889	24.319063	-34.898743	-110.65194	100.0	100.0	104999	-6.922437	7.673054	0.966111	-38.421055	6.5623527	1.864903	708.0681486129761
71	-66.0589	22.351292	-33.60961	-125.303505	-73.82159	27.822947	-49.05444	-145.70149	100.0	100.0	106499	-6.706275	7.648625	1.1157374	-37.991478	6.3467045	1.8712871	718.4192886352539
72	-59.581688	19.280193	-26.692976	-97.954056	-53.771393	18.59249	-22.66497	-75.14313	100.0	100.0	107999	-6.484384	7.686524	1.2400393	-37.076157	6.1248775	1.8986553	728.8026695251465
73	-65.781296	17.58378	-38.77482	-87.48998	-64.510445	33.77412	-32.305176	-144.15457	100.0	100.0	109499	-6.2555075	7.681948	1.3790511	-37.285614	5.894656	1.8791736	739.14377784729
