Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-198.80353	4.842859	-187.51936	-204.89001	-196.2681	8.70592	-181.28294	-210.93884	100.0	100.0	1499	-2.3264148	0.3952344	0.007933058	-4.7781787	2.2634888	0.13121548	5.578141212463379
2	-198.67477	5.695281	-186.395	-209.868	-200.51631	5.1483974	-192.02452	-210.43463	100.0	100.0	2999	-3.6125457	0.6409683	-2.0185347	-5.696202	3.5289412	0.032203116	15.00062108039856
3	-201.16971	6.676428	-190.11343	-214.71281	-193.18968	12.667126	-166.40942	-208.15265	100.0	100.0	4499	-5.6523876	0.74026096	-3.4117033	-8.1663065	5.5539308	0.038801584	24.36104440689087
4	-197.041	5.7182207	-189.04005	-206.5026	-196.25885	9.554894	-181.13347	-208.06898	100.0	100.0	5999	-7.734716	0.8007565	-5.016983	-10.60039	7.639586	0.05210013	33.89384913444519
5	-196.66873	5.4352946	-184.70561	-205.49155	-197.24884	13.643538	-165.89917	-209.06363	100.0	100.0	7499	-9.723254	0.860987	-6.643521	-12.819904	9.627653	0.07081723	43.38048577308655
6	-199.0664	6.031618	-186.0364	-209.49425	-198.66037	8.121847	-184.28177	-209.42076	100.0	100.0	8999	-11.629435	0.91178024	-8.249834	-15.070115	11.530162	0.086356595	52.798259019851685
7	-198.0013	5.6556344	-183.9841	-205.57181	-165.56596	34.974426	-84.037926	-204.7682	100.0	100.0	10499	-13.432205	0.9406261	-9.889169	-17.395397	13.322365	0.09937124	61.97289061546326
8	-200.63647	3.1812773	-193.06268	-205.57863	-178.52917	27.872713	-121.624084	-207.33157	100.0	100.0	11999	-15.105915	0.96420544	-11.495535	-19.110826	14.987247	0.10933958	71.24134516716003
9	-200.56172	7.0810566	-183.22423	-208.9513	-181.06772	20.960543	-141.2322	-202.85393	100.0	100.0	13499	-16.674963	0.98543966	-12.980238	-20.597925	16.545092	0.119044624	80.67796778678894
10	-195.7902	9.8219	-177.03491	-208.47531	-167.61473	23.799807	-122.74367	-206.28174	100.0	100.0	14999	-18.10541	1.004472	-14.4051285	-21.950895	17.968287	0.13160275	90.1240005493164
11	-198.38324	5.8372016	-185.37112	-209.76653	-166.43945	30.996386	-91.028076	-202.87099	100.0	100.0	16499	-19.441841	1.0189047	-15.814052	-23.196918	19.302334	0.14020342	99.51204228401184
12	-198.2072	6.7353797	-186.65823	-211.87653	-158.73108	28.852743	-115.9611	-205.19707	100.0	100.0	17999	-20.651316	1.0230634	-16.67877	-24.47061	20.497257	0.1515372	108.83916234970093
13	-199.45557	9.139112	-176.13885	-209.23392	-168.60585	37.671528	-71.21471	-199.12685	100.0	100.0	19499	-21.800095	1.0281334	-18.072697	-25.896685	21.644562	0.15486494	118.2524962425232
14	-198.93956	5.795333	-183.15764	-209.56505	-162.76747	30.465601	-76.89097	-192.62158	100.0	100.0	20999	-22.8431	1.0406492	-19.05044	-26.94526	22.681746	0.1607569	127.62918543815613
15	-200.97345	7.963517	-182.87744	-213.15236	-156.8178	25.015703	-121.93783	-208.09995	100.0	100.0	22499	-23.828773	1.0551867	-19.96128	-27.76153	23.663269	0.16084355	137.07599353790283
16	-196.14577	11.666398	-170.51068	-212.46976	-138.65982	36.317608	-71.319786	-180.50897	100.0	100.0	23999	-24.719059	1.0687144	-20.707745	-28.665033	24.552511	0.16551647	146.47422170639038
17	-188.36142	23.659193	-129.34354	-210.0928	-131.18697	27.546942	-78.6753	-162.34618	100.0	100.0	25499	-25.541477	1.0852464	-21.320135	-29.763456	25.371132	0.16945589	156.03281235694885
18	-158.82477	24.64568	-116.56343	-202.09291	-145.22888	31.985193	-91.06316	-195.72154	100.0	100.0	26999	-26.166279	1.253971	-21.281254	-30.67569	25.993149	0.21366271	165.92966270446777
19	-137.11185	40.734566	-68.54223	-201.7874	-136.12894	47.959976	-56.252174	-200.97028	100.0	100.0	28499	-26.58981	1.5453764	-20.79359	-31.682192	26.414942	0.29022536	175.8600833415985
20	-124.60457	23.207346	-80.69156	-163.15297	-134.89766	35.093678	-59.34406	-184.61296	100.0	100.0	29999	-26.77691	2.0224845	-19.059523	-32.573673	26.594599	0.4195861	185.75977063179016
21	-141.25838	31.18102	-91.76218	-204.24846	-111.17747	31.89773	-76.00962	-195.36229	100.0	100.0	31499	-26.835688	2.5366726	-17.604942	-33.577892	26.640947	0.5153167	195.66979908943176
22	-131.83371	35.231155	-86.624374	-204.1149	-106.31677	16.405222	-67.60192	-123.35646	100.0	100.0	32999	-26.862703	3.0100293	-16.57148	-34.12746	26.647469	0.5864215	205.5509810447693
23	-99.44316	31.353502	-50.91228	-169.02527	-108.85158	33.066513	-45.790108	-150.78973	100.0	100.0	34499	-26.649956	3.5323195	-15.2039	-35.165184	26.414156	0.720478	215.45515537261963
24	-103.53661	23.83453	-67.05974	-160.52744	-107.09996	25.311691	-64.61365	-140.71815	100.0	100.0	35999	-26.376698	4.0110717	-13.981807	-36.177124	26.122536	0.76546794	225.3161380290985
