Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-217.45363	6.7879767	-199.93678	-227.6274	-217.0251	10.2620535	-198.44156	-229.01433	100.0	100.0	1499	-2.4691339	0.45005718	-0.0018406585	-4.934666	2.3905067	0.17344595	8.1967294216156
2	-215.93515	13.195298	-175.41312	-230.0688	-210.39099	15.5655985	-182.73384	-228.8605	100.0	100.0	2999	-3.859682	0.6758751	-2.161788	-6.295166	3.7809668	0.038029026	22.467687129974365
3	-216.40195	10.920728	-177.08412	-223.76254	-214.57248	6.352806	-206.68253	-224.29231	100.0	100.0	4499	-6.0958505	0.8145957	-3.6941817	-8.7690735	5.9899373	0.04069309	36.16870641708374
4	-219.60211	5.613656	-206.2409	-227.46214	-211.27637	6.0933585	-201.36755	-219.09972	100.0	100.0	5999	-8.418792	0.90274954	-5.316578	-11.498314	8.307082	0.059656106	50.27660322189331
5	-218.34076	8.101834	-198.62003	-227.62839	-200.59988	17.305044	-177.03862	-218.92577	100.0	100.0	7499	-10.617502	0.96113145	-7.1726856	-14.372342	10.498015	0.07373237	63.810107707977295
6	-218.59929	8.029969	-192.97835	-228.14291	-201.85408	18.589523	-158.41724	-218.79572	100.0	100.0	8999	-12.705247	1.0173689	-8.455503	-16.599194	12.56947	0.08850462	77.83849430084229
7	-219.04991	6.309189	-202.58112	-228.0319	-176.01045	32.765366	-122.06417	-223.06447	100.0	100.0	10499	-14.6602335	1.0715894	-9.582727	-20.199888	14.507139	0.104843006	91.66885018348694
8	-215.20258	7.6120806	-198.25594	-227.9757	-190.29083	18.176313	-159.96523	-211.23148	100.0	100.0	11999	-16.45495	1.1132829	-10.785071	-21.47353	16.294634	0.11901644	105.4185311794281
9	-217.99149	7.8359313	-203.0223	-229.06766	-198.78104	18.553175	-169.74504	-224.08353	100.0	100.0	13499	-18.098879	1.1689718	-11.547057	-22.910261	17.928066	0.13670233	119.4024498462677
10	-216.59346	7.390067	-201.54854	-228.2563	-173.88058	24.624916	-138.39407	-216.36464	100.0	100.0	14999	-19.649061	1.2178415	-12.429791	-24.564886	19.476301	0.14899251	132.98712253570557
11	-216.17227	6.061122	-206.491	-225.76315	-176.56094	31.842817	-131.52834	-227.425	100.0	100.0	16499	-21.067001	1.2806711	-13.190256	-25.822912	20.877205	0.16837654	146.8943853378296
12	-219.36693	5.991115	-203.58688	-226.59055	-170.64119	36.71709	-102.0041	-220.71307	100.0	100.0	17999	-22.376657	1.3504101	-13.75282	-27.274576	22.169573	0.18140112	160.25230526924133
13	-219.26035	3.1422892	-211.91362	-225.90578	-165.86972	28.037983	-121.99849	-222.64688	100.0	100.0	19499	-23.583942	1.4199047	-14.8287735	-28.270859	23.36287	0.19967367	173.97676062583923
14	-171.22935	39.1051	-99.38843	-226.7484	-159.25085	33.999466	-106.13117	-215.14926	100.0	100.0	20999	-24.575344	1.6384752	-14.473581	-29.897196	24.343273	0.22766837	188.37320733070374
15	-158.02885	27.732498	-117.69234	-209.07658	-156.27454	28.510468	-107.81139	-205.35231	100.0	100.0	22499	-24.980854	2.466712	-14.2295885	-30.577906	24.738422	0.3576734	203.10363054275513
16	-149.23988	32.360367	-82.35423	-195.6399	-145.99026	28.624445	-113.5805	-199.95528	100.0	100.0	23999	-25.243416	3.1871457	-13.88389	-31.520353	24.987974	0.59756756	218.28134417533875
17	-141.44588	28.155138	-103.14316	-187.22935	-122.32162	31.076956	-52.81028	-168.53665	100.0	100.0	25499	-25.28452	3.9195879	-12.713705	-32.35741	25.003494	0.91844726	233.1583650112152
18	-121.29326	34.825447	-69.068565	-175.04631	-126.743484	35.28049	-67.78752	-181.14592	100.0	100.0	26999	-25.135403	4.68136	-11.803169	-34.026485	24.816156	1.230949	248.06683325767517
19	-155.40965	23.38834	-92.284836	-183.89107	-108.70459	37.23614	-30.808355	-155.32344	100.0	100.0	28499	-24.83149	5.4315414	-10.085066	-34.44011	24.488714	1.4910946	263.00279712677
20	-115.624176	32.542953	-69.81026	-168.0882	-115.08225	43.10823	-40.518543	-197.35878	100.0	100.0	29999	-24.479675	6.104555	-8.564369	-35.946346	24.119032	1.7156618	277.4205746650696
21	-118.42132	30.050943	-60.662792	-185.1233	-113.391335	26.203426	-73.14091	-148.02187	100.0	100.0	31499	-23.951757	6.807865	-7.562286	-36.21193	23.545855	1.8448076	292.41711020469666
22	-116.44345	31.8198	-78.61856	-201.55006	-133.43596	37.493237	-75.21475	-199.7138	100.0	100.0	32999	-23.411667	7.437596	-5.919204	-37.933258	22.984148	1.9835703	307.4150469303131
23	-123.877754	33.979263	-79.37868	-216.13503	-97.45806	38.884197	-40.173256	-169.32764	100.0	100.0	34499	-22.695868	8.045704	-4.560055	-39.325745	22.243406	2.2489197	322.1575999259949
24	-109.76304	27.035439	-76.90495	-181.04604	-113.81108	26.142962	-60.61696	-162.13774	100.0	100.0	35999	-21.994501	8.581455	-3.1316981	-40.119457	21.514301	2.38033	337.21546936035156
25	-109.205215	34.33575	-38.795025	-171.13141	-109.04468	43.542637	-54.349194	-193.28319	100.0	100.0	37499	-21.226658	9.0699	-1.4316003	-40.57099	20.733177	2.5883324	351.84509539604187
26	-105.94927	35.264843	-33.039787	-162.8927	-109.13054	30.61434	-53.501667	-148.15872	100.0	100.0	38999	-20.495117	9.458811	0.2989459	-41.695408	19.966774	2.6499887	366.7615797519684
27	-99.560776	22.955685	-70.75786	-147.09137	-99.57806	31.933716	-57.100807	-153.8173	100.0	100.0	40499	-19.73306	9.79201	1.3687046	-41.26643	19.201162	2.8109684	381.83166790008545
28	-101.11898	27.195343	-53.55034	-138.09645	-99.98918	38.912426	-55.893124	-166.79346	100.0	100.0	41999	-18.986664	10.033266	3.7708483	-41.154785	18.447088	3.007177	395.82404708862305
29	-85.44028	28.475817	-49.264034	-164.21411	-102.731346	28.563143	-61.16645	-152.67474	100.0	100.0	43499	-18.168085	10.272498	3.8642058	-43.715706	17.601198	3.2446764	409.6325855255127
30	-91.118996	19.977962	-55.048264	-128.8538	-117.12312	39.15133	-63.90961	-193.08447	100.0	100.0	44999	-17.18874	10.548358	6.0188994	-42.175686	16.626278	3.348094	423.57775020599365
31	-95.82075	25.602772	-43.53595	-126.63639	-91.72248	32.06749	-41.28661	-129.24736	100.0	100.0	46499	-16.329044	10.74402	5.9414616	-42.20724	15.759194	3.4435313	437.09792733192444
32	-101.976494	35.837944	-55.787193	-161.28429	-93.756134	30.53401	-58.953842	-159.14217	100.0	100.0	47999	-15.444043	10.889957	6.5932536	-42.829624	14.873792	3.505014	451.1226432323456
33	-101.89291	27.098867	-63.683826	-168.57736	-99.178604	30.044416	-51.752823	-152.94218	100.0	100.0	49499	-14.695713	11.012247	6.7574186	-43.43712	14.118638	3.6331403	465.1956458091736
34	-81.68041	33.238224	13.594464	-130.63383	-105.44023	42.195435	-39.96732	-178.10854	100.0	100.0	50999	-13.8156185	11.104529	8.448573	-41.81497	13.225289	3.6770103	479.1642646789551
35	-98.77872	29.868004	-46.069874	-181.82133	-109.79022	22.825478	-76.66866	-154.60268	100.0	100.0	52499	-13.166684	11.219983	8.231669	-42.42766	12.604945	3.7820592	493.848260641098
36	-101.90412	34.04415	-55.700752	-175.91373	-108.087845	30.253122	-66.93079	-171.32631	100.0	100.0	53999	-12.483229	11.283778	9.194769	-41.348946	11.901334	3.8662026	508.4281997680664
37	-95.569534	27.326849	-45.618916	-141.5717	-92.64291	42.024887	-22.61125	-178.09679	100.0	100.0	55499	-11.70466	11.318847	9.970378	-42.03909	11.134852	3.9602618	522.4804210662842
38	-91.779366	25.290829	-50.28546	-138.64554	-108.383224	30.213032	-54.67972	-162.39665	100.0	100.0	56999	-11.103217	11.355368	10.546312	-42.191013	10.529401	3.901042	536.4747619628906
39	-105.852455	34.524124	-48.018337	-184.29181	-96.31801	23.053356	-71.5663	-142.60693	100.0	100.0	58499	-10.492503	11.379916	12.237817	-41.446674	9.926291	4.0338078	550.6002225875854
40	-105.319626	33.306934	-47.408775	-166.66684	-92.60791	34.973152	-30.839167	-154.85036	100.0	100.0	59999	-9.857824	11.378833	12.242539	-41.032417	9.300303	4.005911	565.1619153022766
