Unnamed: 0,iter2_base_new,iter2_reward01,iter2_reward02,iter2_reward03,iter2_reward04,iter2_gamma01,iter2_gamma02,iter2_lr01,iter2_lr02,iter2_noise01,iter2_noise02,iter2_noise03,iter2_noise04
$	heta$ MAE (rad),0.0842,0.0862,0.1028,0.097,0.0904,0.0858,0.0906,0.0844,0.0881,0.0963,0.0891,0.0874,0.0893
$\phi$ MAE (rad),0.0709,0.0696,0.0829,0.0718,0.0724,0.0737,0.0667,0.0866,0.0711,0.0799,0.0732,0.0816,0.0649
$	heta$ MSSE (rad),0.0059,0.0048,0.0168,0.0147,0.0134,0.0056,0.0094,0.0069,0.012,0.0116,0.0079,0.0081,0.0088
$\phi$ MSSE (rad),0.0114,0.0107,0.013,0.0144,0.0086,0.0064,0.0098,0.0231,0.0062,0.0129,0.0099,0.0145,0.0094
$	heta$ in bounds (%),99.91,99.87,99.46,99.79,99.76,99.84,99.71,99.92,99.84,99.66,99.82,99.88,99.68
$\phi$ in bounds (%),99.92,99.83,99.43,99.26,99.76,99.89,99.63,98.39,99.91,98.91,99.72,99.81,99.81
$	heta$ unsteady (%),0.0,0.05,0.15,0.08,0.11,0.06,0.09,0.07,0.03,0.17,0.08,0.01,0.15
$\phi$ unsteady (%),0.06,0.12,0.29,0.25,0.14,0.07,0.24,0.23,0.04,0.79,0.13,0.05,0.15
$	heta$ rise time (s),0.468,0.4825,0.546,0.5095,0.497,0.4695,0.489,0.4556,0.4683,0.5255,0.4675,0.4632,0.4748
$\phi$ rise time (s),0.3314,0.3201,0.3725,0.3204,0.3409,0.3574,0.3051,0.3268,0.3484,0.3394,0.3386,0.3588,0.3087
$	heta$ settling time (s),0.62,0.621,0.6821,0.6437,0.616,0.6227,0.6357,0.5994,0.5979,0.6582,0.6368,0.6257,0.6158
$\phi$ settling time (s),0.5315,0.51,0.5779,0.5082,0.5519,0.5571,0.5003,0.55,0.5539,0.5577,0.5676,0.5868,0.4969
u1 (V),1.0073,0.9661,1.0637,0.9052,1.1118,1.3262,1.4173,1.4704,1.1233,1.6702,2.2035,1.7987,1.727
u2 (V),1.0576,0.8981,0.9568,0.6369,1.6912,4.5867,6.6763,0.7354,1.4534,2.9705,5.09,1.2695,4.2306
u1 variation (V),0.9506,0.8375,1.1212,0.7388,1.1455,1.5889,1.7905,1.8289,1.1421,2.2839,3.3458,2.4612,2.4026
u2 variation (V),1.3483,1.0756,1.272,0.5125,2.6481,8.4426,12.5943,0.7151,2.1397,5.1863,9.4018,1.8372,7.7201
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
