Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-213.23883	6.821975	-201.79846	-222.22952	-208.56177	10.009222	-195.72635	-222.10783	100.0	100.0	1499	-2.4446814	0.45369866	0.018082708	-4.972932	2.3655934	0.16696787	5.451293468475342
2	-218.06633	9.293914	-195.70422	-228.35167	-203.01414	19.349955	-161.60869	-224.23383	100.0	100.0	2999	-3.8762195	0.71021336	-2.068186	-6.84754	3.77395	0.03993308	15.199005126953125
3	-218.57686	6.9938483	-204.31018	-231.1715	-212.82431	10.051112	-193.10641	-221.91663	100.0	100.0	4499	-6.1192455	0.8161403	-3.4040492	-8.756358	6.005931	0.04433518	24.943962335586548
4	-217.64232	8.554431	-190.19	-229.57791	-199.3931	14.481787	-168.75482	-225.00536	100.0	100.0	5999	-8.424439	0.91353923	-4.782569	-11.74125	8.3149605	0.059462473	34.74703097343445
5	-215.76335	7.9550424	-200.69736	-230.384	-191.47057	22.953218	-144.17397	-219.01994	100.0	100.0	7499	-10.609809	0.9554865	-6.453135	-13.810404	10.4830265	0.076677665	44.43814730644226
6	-217.19005	6.0665436	-201.23459	-226.13226	-194.20856	29.417568	-119.04547	-224.55336	100.0	100.0	8999	-12.637301	0.9977344	-8.393711	-16.008429	12.500143	0.092649885	54.23544907569885
7	-216.8803	9.421253	-194.81512	-227.26979	-196.96608	18.86689	-150.12263	-220.8775	100.0	100.0	10499	-14.563019	1.0434903	-9.838376	-18.131567	14.4148035	0.1106437	63.97479963302612
8	-215.5963	8.850051	-191.60217	-228.39848	-190.58005	37.974167	-90.90296	-227.46817	100.0	100.0	11999	-16.350857	1.0933222	-11.638364	-19.913721	16.190285	0.12351213	73.67020106315613
9	-217.97565	6.203631	-205.38808	-226.58801	-189.85515	31.31083	-122.460846	-220.2276	100.0	100.0	13499	-18.024958	1.1524006	-13.411303	-22.465845	17.86071	0.13791744	83.45091915130615
10	-215.78294	7.0927587	-200.00317	-227.28206	-190.79959	20.133415	-164.92993	-219.76079	100.0	100.0	14999	-19.565334	1.2026906	-14.494729	-25.12813	19.396975	0.15845239	93.19463634490967
11	-212.85072	9.01957	-188.85503	-228.49371	-176.00067	32.178543	-130.50018	-218.85625	100.0	100.0	16499	-20.991982	1.2457384	-15.679303	-26.041138	20.817783	0.16842061	102.9657769203186
12	-217.7332	6.0014873	-207.07716	-227.76442	-179.21523	36.61928	-90.21853	-220.07727	100.0	100.0	17999	-22.30768	1.2949027	-17.073278	-26.880112	22.113464	0.17759861	112.69248151779175
13	-214.89182	12.958091	-173.29799	-225.70909	-162.6175	32.72902	-99.3789	-204.55884	100.0	100.0	19499	-23.514387	1.3182373	-17.96481	-28.341604	23.30627	0.18812244	122.34472036361694
14	-173.18303	39.22108	-106.842606	-220.64261	-152.7198	33.70797	-89.748825	-211.91011	100.0	100.0	20999	-24.511408	1.4809172	-16.248537	-29.131363	24.29513	0.3198717	132.40228533744812
15	-158.63564	33.00049	-92.56137	-218.45953	-158.35323	28.911734	-117.34186	-213.6308	100.0	100.0	22499	-24.995083	2.2077131	-13.292937	-31.126184	24.785807	0.8440456	142.67305088043213
16	-149.92062	32.860924	-93.81864	-211.39917	-132.22617	42.59636	-47.86877	-209.84291	100.0	100.0	23999	-25.277506	3.0171757	-10.220331	-31.96365	25.044724	1.1615217	152.9027931690216
17	-145.70483	33.84959	-87.6919	-209.4828	-141.73218	31.048414	-78.81823	-180.32285	100.0	100.0	25499	-25.35179	3.8638186	-7.31506	-33.28684	25.08731	1.4218466	162.98043942451477
18	-158.3464	29.977411	-98.57835	-203.63666	-149.83531	38.66925	-70.12733	-217.92447	100.0	100.0	26999	-25.298826	4.602795	-4.2542424	-35.24798	25.003452	1.6952313	173.23845195770264
19	-132.9116	32.91768	-64.46654	-197.51274	-124.56996	25.756577	-81.737564	-160.53287	100.0	100.0	28499	-25.142004	5.2583995	-1.436971	-36.027557	24.804182	2.044446	183.3882350921631
20	-117.31077	30.846098	-68.121284	-172.89153	-117.715416	33.843216	-69.76548	-192.06015	100.0	100.0	29999	-24.622873	6.019361	0.79862964	-36.885002	24.247633	2.3522582	193.61453580856323
21	-133.5279	38.90797	-72.99483	-211.20004	-140.76408	36.45277	-72.16829	-187.7988	100.0	100.0	31499	-24.023296	6.74465	3.2786553	-37.523296	23.616598	2.6425748	203.7273292541504
22	-128.4438	28.169598	-82.69515	-161.95735	-112.6957	35.31466	-65.461716	-173.06459	100.0	100.0	32999	-23.467443	7.310794	6.0576487	-38.716595	23.034386	3.0674846	213.92630100250244
23	-110.761826	33.835415	-47.02259	-175.24843	-110.464645	30.462305	-57.422512	-142.59387	100.0	100.0	34499	-22.778833	7.9085283	8.471954	-39.9194	22.31689	3.3188412	224.07062458992004
24	-102.85982	31.704227	-55.959167	-163.83234	-97.524925	39.890285	-45.580223	-174.52087	100.0	100.0	35999	-21.898144	8.579856	9.291394	-41.167442	21.410135	3.568549	234.16301202774048
25	-112.205246	18.374838	-74.63537	-150.0107	-128.90872	27.809961	-89.31123	-188.99405	100.0	100.0	37499	-21.053183	9.10838	10.674736	-41.109074	20.521486	3.7542331	244.3542881011963
26	-110.26549	35.025726	-54.77652	-176.0843	-113.64232	35.334446	-55.395107	-185.74702	100.0	100.0	38999	-20.10615	9.592248	12.910639	-42.022568	19.542624	3.9136393	254.51223826408386
27	-113.62502	18.286047	-84.458855	-152.374	-134.45515	51.291595	-42.83546	-196.24399	100.0	100.0	40499	-19.01328	10.224608	14.309079	-41.129723	18.408667	4.210084	264.7141716480255
28	-122.69255	34.31816	-77.37886	-188.16171	-113.69287	30.263191	-62.274544	-174.30655	100.0	100.0	41999	-18.079153	10.599659	15.896928	-42.52313	17.45172	4.384201	274.80693459510803
29	-112.83149	39.369278	-43.763508	-200.3117	-111.21654	44.418625	-40.45925	-186.86131	100.0	100.0	43499	-17.038652	10.93039	16.77664	-43.905296	16.404177	4.449896	285.06754302978516
30	-125.835945	39.02617	-58.369698	-202.36595	-105.43111	25.555056	-61.91951	-158.3136	100.0	100.0	44999	-16.111969	11.250545	19.369112	-43.16031	15.476206	4.6036215	295.4151327610016
31	-98.5848	31.814333	-37.391495	-159.39494	-111.76949	23.094559	-70.47762	-150.08472	100.0	100.0	46499	-15.250941	11.474344	19.003687	-42.655834	14.599145	4.7600245	305.6830611228943
32	-108.4376	37.341072	-52.990097	-181.28683	-128.40096	34.06235	-66.887825	-166.17856	100.0	100.0	47999	-14.322435	11.738307	20.196108	-43.569695	13.662884	4.9835763	315.8983552455902
33	-128.91615	32.453335	-59.764923	-188.57964	-119.17853	40.822014	-43.236057	-182.97731	100.0	100.0	49499	-13.547352	11.932921	20.32184	-42.85851	12.873114	5.091004	326.172425031662
34	-107.865074	37.25007	-34.107986	-162.01283	-84.25841	36.29259	-35.103928	-145.81952	100.0	100.0	50999	-12.5195875	12.138563	21.019974	-43.877605	11.830206	5.137059	336.32705068588257
35	-103.70836	35.584045	-35.528378	-172.29488	-110.43956	33.207497	-62.365814	-170.8962	100.0	100.0	52499	-11.635265	12.271994	21.403633	-43.17989	10.932173	5.2599697	346.5770306587219
36	-118.689186	36.654087	-47.68483	-176.17754	-86.52754	27.098904	-46.433006	-144.90497	100.0	100.0	53999	-10.832088	12.353493	20.757246	-42.875458	10.128482	5.2764935	356.84819078445435
37	-113.53547	38.620167	-44.892166	-190.50565	-102.63971	31.714134	-57.486507	-170.10999	100.0	100.0	55499	-10.048802	12.321606	22.667858	-43.56729	9.369426	5.381613	367.03385949134827
38	-109.15568	39.819084	-50.256966	-196.70775	-110.96346	34.043446	-49.56621	-159.37006	100.0	100.0	56999	-9.271728	12.4148	22.942343	-42.114487	8.570636	5.4371905	377.23559284210205
39	-104.56074	25.63357	-70.80759	-159.19505	-90.08186	21.4855	-56.229103	-129.2596	100.0	100.0	58499	-8.696623	12.408854	25.95422	-42.310074	7.9934726	5.563304	387.420175075531
40	-100.719795	22.49568	-48.098698	-136.35347	-114.568214	20.812979	-74.78035	-143.40382	100.0	100.0	59999	-7.971495	12.380968	26.950083	-41.693462	7.265978	5.533771	397.7248475551605
41	-99.28687	36.055622	-45.621906	-158.83015	-114.45	29.351704	-81.65451	-171.79697	100.0	100.0	61499	-7.310694	12.350264	29.039738	-43.284946	6.6255536	5.629129	408.0188627243042
42	-118.93276	23.926844	-78.5364	-172.43918	-104.18473	24.707207	-67.78559	-152.45142	100.0	100.0	62999	-6.7307076	12.353923	29.866219	-42.31502	6.036831	5.5756083	418.42516469955444
43	-94.39428	31.437222	-54.154953	-174.09703	-100.021286	36.409187	-32.806618	-149.70406	100.0	100.0	64499	-6.196234	12.3743	30.798992	-44.43223	5.5095167	5.775177	428.80277466773987
44	-107.86495	40.67224	-53.17247	-194.10193	-87.80174	31.527573	-44.307804	-132.01073	100.0	100.0	65999	-5.599946	12.351201	31.710909	-42.706142	4.9371915	5.737259	439.17907214164734
45	-91.70625	21.609592	-43.02147	-133.55302	-103.54913	25.804647	-76.1795	-156.59467	100.0	100.0	67499	-5.131548	12.294268	32.48894	-41.338837	4.45033	5.809233	449.5146930217743
46	-97.64759	28.693354	-50.71006	-140.4499	-112.89607	28.982481	-77.92635	-175.85799	100.0	100.0	68999	-4.6368794	12.311483	33.68139	-41.373634	3.9706647	5.7965913	459.9250707626343
47	-84.35677	30.595644	-36.3627	-162.76755	-101.7101	23.401487	-62.595192	-133.29732	100.0	100.0	70499	-4.1386495	12.383997	33.8854	-41.393497	3.482881	5.847874	470.27423000335693
48	-93.06457	25.008429	-46.593403	-137.01491	-99.435745	31.403578	-18.695435	-133.59457	100.0	100.0	71999	-3.6020133	12.44067	35.342514	-40.652016	2.9435	6.0205154	480.6850061416626
